Name,Ticker,Price,Last Filing,Market Cap ($M),Revenue Growth,Gross Margin,LTM FCF,LTM FCF %,Rule of 40 (LTM FCF),Rule of 40 (Quarter FCF),EV / Revenue Run Rate,EV / LTM Revenue,EV / NTM Revenue,EV / 2020 Revenue,EV / 2021 Revenue,EV / 2022 Revenue,EV / 2023 Revenue,EV / 2021 Gross Profit,EV / NTM Gross Profit,Net Dollar Retention,Quarter FCF,Quarter FCF %,LTM Free Cash Flow Growth %,EBITDA,EBITDA %,LTM EBITDA,EV / LTM EBITDA,Quarter Magic Number,LTM CAC Ratio,Current CAC Ratio,LTM Mean Payback Period,Quarter CAC Payback Period,Implied 5yr LTV ($K),Implied CAC,Implied 5yr LTV/CAC,ARR Per Customer ($K),ARR / Employee ($K),Annualized Opex / Employee,Run Rate/Employees,R&D %,G&A %,S&M %,Annualized Revenue Run Rate ($M),ARR Type,ARR ($M),ARR Growth,Growth Persistence,Last Year Quarter Growth,Operating Income %,Rule of 40 (Op In Margin),2020 Revenue,2021 Analyst Revenue Estimates,US Revenue %,Last Year Run Rate ($M),LTM Revenue ($M),LTM Revenue Growth,NTM Revenue Growth,NTM Revenue Updated,EV / LTM Free Cash Flow,Enterprise Value,Total Cash,Net Cash,Consensus Revenue (Mean),Consensus Revenue Beat (Mean),Founding Year,IPO Year,Multiple on IPO,% of 52 Week High,Last Reported Employees,Earnings Link
Zoom Video,ZM,$340.50 ,4/30/21,"$103,993 ",191%,72%,"$1,593 ",49%,240%,239%,26.0x,30.3x,24.0x,37.5x,25.7x,21.0x,18.8x,35.5x,33.2x,,"$454,228 ",48%,355%,"236,975",25%,"896,956",110.8x,1.4,3.1,1,3.9,12,,7157.8,,7,,,,7%,16%,26%,"$3,824 ",Revenue * 4,"$3,824 ",,113%,169%,24%,215%,"$2,651 ","$3,868 ",,"$1,312 ","$3,279 ",296%,26%,6/5/21,62.3x,"$99,303 ","$4,690 ",,"905,235",6%,2011,2019,5.2x,60%,,
Snowflake,SNOW,$251.46 ,4/30/21,"$73,272 ",110%,57%,($62),-9%,102%,116%,75.8x,97.4x,55.1x,117.1x,65.0x,39.7x,25.3x,113.2x,95.9x,168%,"$12,944 ",6%,,"-200,911",-88%,"-640,141",,1,0.6,0.6,20.2,20.9,"6,149",391984.7,15.7,201,,,,48%,26%,73%,$915 ,Revenue * 4,$915 ,110%,74%,149%,-90%,21%,$592 ,"$1,066 ",,$435 ,$712 ,116%,77%,6/2/21,-1118.4x,"$69,341 ","$3,930 ",,"211,164",8%,,2020,10.6x,62%,,
Shopify,SHOP,"$1,224.48 ",3/31/21,"$150,034 ",110%,57%,$615 ,18%,128%,124%,36.0x,41.2x,30.6x,48.5x,32.6x,24.6x,18.4x,57.8x,54.2x,,"$130,495 ",13%,,"134,699",14%,"353,779",402.7x,0.3,1.8,0.2,6.7,75.3,,,,,,,,18%,7%,19%,"$3,954 ",Reported ARR,"$1,079 ",62%,237%,47%,12%,122%,"$2,929 ","$4,355 ",,"$1,880 ","$3,448 ",100%,35%,6/7/21,231.2x,"$142,162 ","$7,872 ",,"855,164",16%,2004,2015,43.7x,83%,,https://www.sec.gov/Archives/edgar/data/1594805/000159480521000021/exhibit992mdaq12021.htm
Monday.com,MNDY,,3/31/21,,85%,87%,,,,76%,,,,,,,,,,,"($5,262)",-9%,,"-37,300",-63%,"-37,300",,0.6,0.5,0.5,24.7,22.3,,,,,294,445,295,26%,17%,107%,$235 ,Revenue * 4,$235 ,85%,,,-64%,21%,$161 ,,,$127 ,$188 ,96%,,,,,$124 ,,,,,,,,799,https://www.sec.gov/Archives/edgar/data/0001845338/000110465921067423/tm211978-4_f1.htm
UI Path,PATH,$73.85 ,1/31/21,"$38,340 ",81%,90%,$25 ,4%,85%,84%,45.6x,62.4x,46.4x,62.4x,,36.2x,,,51.3x,145%,"$6,496 ",3%,,,,,,2.4,1.2,2.2,10.2,5.5,"1,255",,,72,202,241,290,14%,21%,48%,$831 ,Reported ARR,$580 ,65%,,,7%,88%,$607 ,,,$459 ,$607 ,81%,35%,6/5/21,1515.2x,"$37,879 ",$461 ,,,,,,,87%,2863,https://www.sec.gov/Archives/edgar/data/0001734722/000119312521120347/d98556ds1a.htm
Crowdstrike,CRWD,$213.44 ,4/30/21,"$47,843 ",70%,74%,$323 ,32%,102%,109%,38.7x,46.9x,31.7x,53.7x,35.6x,26.5x,22.2x,48.0x,42.8x,,"$117,303 ",39%,181%,"-19,392",-6%,"-52,936",,1.3,0.9,1,13.2,12,,73785.4,,104,,,,26%,14%,45%,"$1,211 ",Reported ARR,"$1,190 ",73%,82%,85%,-10%,60%,$874 ,"$1,319 ",,$712 ,$999 ,77%,48%,6/7/21,145.2x,"$46,897 ","$1,685 ",$947 ,"292,199",4%,2011,2019,3.4x,88%,,
Twilio,TWLO,$314.91 ,3/31/21,"$54,384 ",62%,51%,($38),-2%,60%,60%,21.2x,25.1x,18.4x,28.3x,19.8x,15.3x,12.3x,39.1x,36.3x,133%,"($10,915)",-2%,,"-137,747",-23%,"-420,501",,0.9,0.8,0.5,14.4,25.5,127,12856.2,9.9,10,430,361,430,30%,19%,36%,"$2,359 ",Revenue * 4,"$2,359 ",,109%,57%,-33%,28%,"$1,761 ","$2,525 ",71%,"$1,459 ","$1,986 ",57%,37%,5/20/21,-1313.0x,"$49,895 ","$5,707 ","$4,489 ","533,442",11%,2008,2016,13.1x,71%,5482,https://www.sec.gov/Archives/edgar/data/1447669/000144766921000126/twlo-20210331.htm
Asana,ASAN,$39.55 ,4/30/21,"$6,450 ",61%,90%,($67),-26%,34%,51%,21.0x,25.2x,,28.3x,20.3x,15.8x,12.7x,22.7x,,115%,"($7,664)",-10%,,"-49,009",-64%,"-192,748",,0.6,0.6,0.6,21,21.6,23,7646.7,3,3,,,,52%,29%,74%,$306 ,Revenue * 4,$306 ,61%,86%,71%,-65%,-4%,$227 ,$316 ,,$190 ,$255 ,57%,,6/7/21,-95.9x,"$6,425 ",$386 ,$25 ,"70,166",9%,,,,95%,,
Zscaler,ZS,$194.06 ,4/30/21,"$26,466 ",60%,78%,$126 ,21%,81%,91%,37.4x,43.9x,31.5x,49.2x,34.7x,25.9x,,44.6x,40.5x,,"$55,781 ",32%,425%,"-35,776",-20%,"-158,445",,0.7,0.6,0.5,21.1,22,,,,,,,,23%,14%,66%,$705 ,Revenue * 4,$705 ,60%,150%,40%,-25%,35%,$536 ,$759 ,,$442 ,$601 ,54%,39%,6/3/21,209.2x,"$26,360 ",$107 ,,"164,395",7%,2007,2018,7.1x,86%,,
DocuSign,DOCU,$242.28 ,4/30/21,"$47,085 ",58%,78%,$304 ,19%,77%,84%,25.1x,29.0x,21.8x,32.4x,23.8x,18.6x,15.1x,30.7x,28.1x,,"$123,001 ",26%,576%,"9,300",2%,"-65,651",,0.7,0.7,0.5,18.3,22.5,,,,1,,,,18%,11%,51%,"$1,876 ",Subscription Revenue * 4,"$1,807 ",61%,149%,39%,-2%,56%,"$1,453 ","$1,975 ",,"$1,188 ","$1,625 ",54%,33%,6/7/21,154.8x,"$47,060 ",$781 ,$25 ,"434,874",8%,2003,2018,6.4x,90%,,
