Name,Ticker,Price,Last Filing,Market Cap ($M),Revenue Growth,Gross Margin,LTM FCF,LTM FCF %,Rule of 40 (LTM FCF),Rule of 40 (Quarter FCF),EV / Revenue Run Rate,EV / LTM Revenue,EV / NTM Revenue,EV / 2020 Revenue,EV / 2021 Revenue,EV / 2022 Revenue,EV / 2023 Revenue,EV / 2021 Gross Profit,EV / NTM Gross Profit,Net Dollar Retention,Quarter FCF,Quarter FCF %,LTM Free Cash Flow Growth %,EBITDA,EBITDA %,LTM EBITDA,EV / LTM EBITDA,Quarter Magic Number,LTM CAC Ratio,Current CAC Ratio,LTM Mean Payback Period,Quarter CAC Payback Period,Implied 5yr LTV ($K),Implied CAC,Implied 5yr LTV/CAC,ARR Per Customer ($K),ARR / Employee ($K),Annualized Opex / Employee,Run Rate/Employees,R&D %,G&A %,S&M %,Annualized Revenue Run Rate ($M),ARR Type,ARR ($M),ARR Growth,Growth Persistence,Last Year Quarter Growth,Operating Income %,Rule of 40 (Op In Margin),2020 Revenue,2021 Analyst Revenue Estimates,US Revenue %,Last Year Run Rate ($M),LTM Revenue ($M),LTM Revenue Growth,NTM Revenue Growth,NTM Revenue Updated,EV / LTM Free Cash Flow,Enterprise Value,Total Cash,Net Cash,Consensus Revenue (Mean),Consensus Revenue Beat (Mean),Founding Year,IPO Year,Multiple on IPO,% of 52 Week High,Last Reported Employees,Earnings Link
Zoom Video,ZM,"$346.50","2021-04-30","$102,095","191%","72%","$1,593","49%","240%","239%","25.5x","29.7x","23.5x","36.7x","25.2x","20.6x","18.4x","34.8x","32.6x",,"$454,228","48%","355%","236,975","25%","896,956","108.7x","1.4","3.1","1.0","3.9","12.0",,"7157.8",,"7","755","367.0","756.0","7%","16%","26%","$3,824","Revenue * 4","$3,824",,"113%","169%","24%","215%","$2,651","$3,868","66%","$1,312","$3,279","296%","26%","2021-06-05","61.1x","$97,405","$4,690",,"905,235","6%","2011","2019","5.3x","61%","5059",https://www.sec.gov/Archives/edgar/data/1585521/000158552121000131/zm-20210430.htm
Snowflake,SNOW,"$248.80","2021-04-30","$72,497","110%","57%","$-62","-9%","102%","116%","74.9x","96.3x","54.5x","115.8x","64.3x","39.3x","25.0x","111.9x","94.8x","168%","$12,944","6%",,"-200,911","-88%","-640,141",,"1.0","0.6","0.6","20.2","20.9","6,149","391984.7","15.7","201",,,,"48%","26%","73%","$915","Revenue * 4","$915","110%","74%","149%","-90%","21%","$592","$1,066",,"$435","$712","116%","77%","2021-06-02","-1105.9x","$68,566","$3,930",,"211,164","8%",,"2020","10.5x","61%",,
Shopify,SHOP,"$1,231.10","2021-03-31","$150,845","110%","57%","$615","18%","128%","124%","36.2x","41.5x","30.8x","48.8x","32.8x","24.8x","18.5x","58.1x","54.5x",,"$130,495","13%",,"134,699","14%","353,779","405.0x","0.3","1.8","0.2","6.7","75.3",,,,,,,,"18%","7%","19%","$3,954","Reported ARR","$1,079","62%","237%","47%","12%","122%","$2,929","$4,355",,"$1,880","$3,448","100%","35%","2021-06-08","232.5x","$142,973","$7,872",,"855,164","16%","2004","2015","44.0x","84%",,https://www.sec.gov/Archives/edgar/data/1594805/000159480521000021/exhibit992mdaq12021.htm
Monday.com,MNDY,"$178.87","2021-03-31","$2,227","85%","87%",,,,"76%","8.9x","11.2x",,"13.1x",,,,,,"107%","$-5,262","-9%",,"-37,300","-63%","-37,300",,"0.6","0.5","0.5","24.7","22.3",,,,,"294","445.0","295.0","26%","17%","107%","$235","Revenue * 4","$235","85%",,,"-64%","21%","$161",,,"$127","$188","96%",,,,"$2,103","$124",,,,,,,"100%","799",https://www.sec.gov/Archives/edgar/data/0001845338/000110465921067423/tm211978-4_f1.htm
UI Path,PATH,"$74.03","2021-01-31","$38,433","81%","90%","$25","4%","85%","84%","45.7x","62.6x","46.5x","62.6x",,"36.3x",,,"51.5x","145%","$6,496","3%",,,,,,"2.4","1.2","2.2","10.2","5.5","1,255",,,"72","202","241.0","290.0","14%","21%","48%","$831","Reported ARR","$580","65%",,,"7%","88%","$607",,,"$459","$607","81%","35%","2021-06-05","1518.9x","$37,972","$461",,,,,,,"87%","2863",https://www.sec.gov/Archives/edgar/data/0001734722/000119312521120347/d98556ds1a.htm
Crowdstrike,CRWD,"$228.60","2021-04-30","$51,620","70%","74%","$323","32%","102%","109%","41.8x","50.7x","34.2x","58.0x","38.4x","28.3x","22.6x","51.9x","46.2x",,"$117,303","39%","181%","-19,392","-6%","-52,936",,"1.3","0.9","1.0","13.2","12.0",,"73785.4",,"104",,,,"26%","14%","45%","$1,211","Reported ARR","$1,190","73%","82%","85%","-10%","60%","$874","$1,319","73%","$712","$999","77%","48%","2021-06-09","156.9x","$50,674","$1,685","$947","292,199","4%","2011","2019","3.6x","94%",,https://www.sec.gov/Archives/edgar/data/1535527/000153552721000013/crwd-20210430.htm
Twilio,TWLO,"$324.10","2021-03-31","$55,971","62%","51%","$-38","-2%","60%","60%","21.8x","25.9x","18.9x","29.2x","20.4x","15.8x","12.7x","40.3x","37.5x","133%","$-10,915","-2%",,"-137,747","-23%","-420,501",,"0.9","0.8","0.5","14.4","25.5","127","12856.2","9.9","10","430","361.0","430.0","30%","19%","36%","$2,359","Revenue * 4","$2,359",,"109%","57%","-33%","28%","$1,761","$2,525","71%","$1,459","$1,986","57%","37%","2021-05-20","-1354.8x","$51,482","$5,707","$4,489","533,442","11%","2008","2016","13.5x","73%","5482",https://www.sec.gov/Archives/edgar/data/1447669/000144766921000126/twlo-20210331.htm
Asana,ASAN,"$45.94","2021-04-30","$7,517","61%","90%","$-67","-26%","34%","51%","24.5x","29.4x",,"33.0x","23.1x","18.0x","13.5x","25.8x",,"115%","$-7,664","-10%",,"-49,009","-64%","-192,748",,"0.6","0.6","0.6","21.0","21.6","23","7646.7","3.0","3",,,,"52%","29%","74%","$306","Revenue * 4","$306","61%","86%","71%","-65%","-4%","$227","$324","58%","$190","$255","57%",,"2021-06-09","-111.8x","$7,492","$386","$25","70,166","9%",,,,"100%",,https://www.sec.gov/Archives/edgar/data/1477720/000147772021000028/asan-20210430.htm
Zscaler,ZS,"$204.91","2021-04-30","$27,947","60%","78%","$126","21%","81%","91%","39.5x","46.3x","33.3x","51.9x","36.7x","27.4x",,"47.1x","42.7x",,"$55,781","32%","425%","-35,776","-20%","-158,445",,"0.7","0.6","0.5","21.1","22.0",,,,,,,,"23%","14%","66%","$705","Revenue * 4","$705","60%","150%","40%","-25%","35%","$536","$759",,"$442","$601","54%","39%","2021-06-03","221.0x","$27,840","$107",,"164,395","7%","2007","2018","7.5x","90%",,
DocuSign,DOCU,"$243.08","2021-04-30","$47,361","58%","78%","$304","19%","77%","84%","25.2x","29.1x","21.9x","32.6x","24.0x","18.6x","15.0x","30.9x","28.3x",,"$123,001","26%","576%","9,300","2%","-65,651",,"0.7","0.7","0.5","18.3","22.5",,,,"1",,,,"18%","11%","51%","$1,876","Subscription Revenue * 4","$1,807","61%","149%","39%","-2%","56%","$1,453","$1,975","79%","$1,188","$1,625","54%","33%","2021-06-08","155.7x","$47,336","$781","$25","434,874","8%","2003","2018","6.4x","90%",,https://www.sec.gov/Archives/edgar/data/1261333/000126133321000108/docu-20210430.htm
